current,last_week,artist,title,label,weeks_in_charts,peak_in_charts,last_week_fill
1,2,Miksu / MacLoud & Makko,Nachts wach,Futura,9,1,2
2,1,Nina Chuba,Wildberry Lillet,Jive,4,1,1
3,NA,Bonez MC & RAF Camora feat. Gzuz,Taxi,187 Strassenbande,1,3,0
4,12,David Guetta & Bebe Rexha,I'm Good (Blue),Parlophone Label Group,2,4,12
5,3,DJ Robin & Schürze,Layla,Universal Domestic Polydor,17,1,3
6,4,James Hype & Miggy Dela Rosa,Ferrari,Universal Domestic Island,15,4,4
7,6,Liaze,Paradise,Ventura Records,11,2,6
8,10,Imanbek & BYOR,Belly Dancer,Musical Freedom,20,8,10
9,11,Harry Styles,As It Was,Columbia,23,1,11
10,9,Luciano [DE],Beautiful Girl,Urban,19,1,9
11,8,Kontra K feat. Sido & Leony,Follow,Letzte Woelfe,9,3,8
12,15,Tom Odell,Another Love,Columbia,135,11,15
13,19,Southstar,Miss You,Columbia/B1,6,13,19
14,16,Rosa Linn,Snap,Columbia,9,14,16
15,23,Chris Brown,Under The Influence,RCA,6,15,23
16,7,Die Zipfelbuben feat. DJ Cashi,Olivia,Xtreme Sound Recordings,7,2,7
17,14,Bonez MC / RAF Camora,Sommer,187 Strassenbande,5,3,14
18,17,Ion Miles / SiraOne / BHZ,Powerade,Sony Music / BHZ,20,2,17
19,20,Central Cee,Doja,Central Cee,7,19,20
20,27,OneRepublic,I Ain't Worried,Interscope,12,20,27
21,18,Domiziana,Ohne Benzin,Four Music,16,1,18
22,21,Kate Bush,Running Up That Hill,EMI,34,3,21
23,25,Glass Animals,Heat Waves,Polydor,71,2,25
24,22,Makar,Mood,Virgin Records,3,16,22
25,24,Öwnboss & Sevek,Move Your Body,Musical Freedom,25,11,24
26,29,Topic x A7S,Kernkraft 400 (A Better Day),Virgin Records,10,26,29
27,26,Miksu / MacLoud & T-Low,Sehnsucht,Futura,27,1,26
28,13,Samra x Topic42,Kiss Me,Cataleya Edition,2,13,13
29,28,Farruko,Pepas,Epic,53,11,28
30,NA,Luciano [DE],Präsi Suite,Urban,1,30,0
31,30,Kamrad,I Believe,Epic,29,20,30
32,32,Julian Sommer,Dicht im Flieger,Electrola,23,7,32
33,36,Ed Sheeran,Shivers,Atlantic,52,1,36
34,40,Nicky Youre & Dazy,Sunroof,Columbia,12,34,40
35,33,T-Low & Miksu / Macloud,We Made It,Spinnup,20,1,33
36,35,Lost Frequencies / Calum Scott,Where Are You Now,RCA,56,5,35
37,38,Leony,Remedy,Kontor Records,30,5,38
38,42,Rema,Calm Down,Mavin Records,2,38,42
39,31,Britney Spears / Elton John,Hold Me Closer,EMI,2,31,31
40,50,Montez,Auf & ab,Universal Domestic Vertigo,58,1,50
41,48,Ghost,Mary On A Cross,Loma Vista Recordings,2,41,48
42,61,Nicki Minaj,Super Freaky Girl,Republic Records,4,42,61
43,54,Bonez MC & RAF Camora,Letztes Mal,187 Strassenbande,8,2,54
44,43,Black Eyed Peas / Shakira + David Guetta,Don't You Worry,Epic,5,43,43
45,39,Elton John & Dua Lipa,Cold Heart,EMI,55,3,39
46,47,Ed Sheeran,Bad Habits,Atlantic,63,1,47
47,44,Benzz,Je m'appelle,Universal,17,22,44
48,37,Camila Cabello feat. Ed Sheeran,Bam Bam,Epic,27,12,37
49,NA,Kool Savas & Takt32 feat. GRiNGO & Samra,Check,Sony Music / Essah Media GmbH,1,49,0
50,41,Luciano [DE],Frozen Tears,Urban,6,8,41
51,49,SDP feat. Clueso,Die schönsten Tage,Nur Musik ist schöner,19,13,49
52,55,"David Guetta, Becky Hill & Ella Henderson",Crazy What Love Can Do,Parlophone Label Group,22,26,55
53,52,Jason Derulo,Acapulco,Atlantic,50,18,52
54,53,Ary x Liaze,Ticket nach Ketama,Good Kid Records/VENTURA Records,7,16,53
55,62,Purple Disco Machine + Sophie And The Giants,In The Dark,Columbia,30,12,62
56,56,Tiësto & Ava Max,The Motto,Atlantic,44,10,56
57,60,The Kid Laroi / Justin Bieber,Stay,Columbia,61,1,60
58,96,Armani White,Billie Eilish,Armani White,2,58,96
59,65,Shouse,Love Tonight,Hell Beach,64,4,65
60,46,Theo Junior,Ups & Downs,Theo Junior,8,14,46
61,74,Jax Jones & MNEK,Where Did You Go?,Polydor,24,27,74
62,69,Gayle,abcdefu,Atlantic,43,1,69
63,59,Endzone / TM,61 Grad,2Live Entertainment,42,25,59
64,72,Nathan Evans,Wellerman,Polydor,85,1,72
65,95,Ava Max,Maybe You're The Problem,Atlantic,11,65,95
66,70,Emilio,Ausmacht,Jive,14,5,70
67,57,Alvaro Soler x Topic,Solo para ti,Airforce1,10,57,57
68,71,Cheriimoya & Sierra Kidd,"Living Life, In The Night",Cheriimoya,5,65,71
69,45,Andy Luxx / Bierkapitän / DJ Aaron,Lea,Electrola,4,23,45
70,NA,Glockenbach / Ásdís,Dirty Dancing,Wefor,1,70,0
71,NA,Seafret,Atlantis,Sony Music,1,71,0
72,66,Blackpink,Pink Venom,Interscope,3,32,66
73,77,Acraze feat. Cherish,Do It To It,Thrive Music/Virgin Music,45,3,77
74,68,Pashanim,Kleiner Prinz,Urban,9,4,68
75,73,Die Flippers,Wir sagen danke schön,Sony Music,10,29,73
76,83,Tiësto & Charli XCX,Hot In It,Atlantic,6,76,83
77,NA,Liaze & The Cratez,Warum du schreibst,Ventura Records,1,77,0
78,82,Felix Jaehn & The Stickmen Project feat. Calum Scott,Rain In Ibiza,Virgin Records,18,28,82
79,75,Mia Julia / Lorenz Büffel / Malle Anja,Der Zug hat keine Bremse,Electrola,10,33,75
80,NA,Meduza x James Carter feat. Elley Duhé + Fast Boy,Bad Memories,Virgin Records,1,80,0
81,80,Felix Jaehn feat. Zoe Wees,Do It Better,Virgin Records,13,69,80
82,81,Imagine Dragons x JID,Enemy,Interscope,45,4,81
83,79,Shawn Mendes,When You're Gone,Island,23,37,79
84,63,Cro feat. Claudia Valentina,High,Urban,12,24,63
85,88,Kummer feat. Fred Rabe,Der letzte Song (Alles wird gut),Eklat Tonträger,34,1,88
86,98,Lizzo,About Damn Time,Atlantic,18,34,98
87,34,Kontra K,Kampfgeist V,Letzte Woelfe,2,34,34
88,84,Marshmello / Khalid,Numb,RCA,4,84,84
89,90,Alvaro Soler / Ray Dalton,Manila,Epic,31,23,90
90,86,Elley Duhé,Middle Of The Night,RCA,39,31,86
91,76,Luude & Mattafix,Big City Life,Warner Music International,8,67,76
92,NA,Imagine Dragons,Bones,Interscope,2,92,0
93,97,YouNotUs / Louis III,Samba,Guesstimate,4,87,97
94,93,The Weeknd,Save Your Tears,Republic Records,85,5,93
95,87,Lady Gaga,Hold My Hand,Interscope,14,79,87
96,92,Jaymes Young,Infinity,Atlantic,47,11,92
97,NA,Eliza Rose & Interplanetary Criminal,B.O.T.A. (Baddest Of Them All),Warner Music International,1,97,0
98,78,RIN,Commitment Issues,GOLD LEAGUE,8,9,78
99,89,Pashanim,Sommergewitter,Urban,62,1,89
100,NA,Julien Bam feat. Elif & Jay-C,Bunny Bars (Osterhase),vincentleemusic.com,1,100,0
