current,last_week,artist,title,label,weeks_in_charts,peak_in_charts,last_week_fill
1,4,Ed Sheeran,Bad Habits,Warner Music International,3,1,4
2,2,Pashanim,Sommergewitter,Urban,3,1,2
3,1,Shirin David,Lieben wir,Juicy Money Records,2,1,1
4,3,Måneskin,Beggin',RCA,6,1,3
5,17,Wes Nelson & Yxng Bane,Nice To Meet Ya,EMI,7,5,17
6,79,BTS,Butter,Sony Music / BTS,8,6,79
7,5,Olivia Rodrigo,Good 4 U,Olivia Rodrigo,9,1,5
8,NA,The Kid Laroi / Justin Bieber,Stay,Columbia,1,8,0
9,6,Måneskin,I Wanna Be Your Slave,RCA,8,3,6
10,19,Shouse,Love Tonight,Hell Beach,4,10,19
11,8,Justin Wellington and Small Jam,Iko Iko,Columbia / B1,11,7,8
12,NA,Till Lindemann,Ich hasse Kinder,Universal Domestic Vertigo,1,12,0
13,11,Nathan Evans,Wellerman,Polydor,25,1,11
14,12,Riton x Nightcrawlers feat. Mufasa & Hypeman,Friday (Dopamine Re-Edit),Columbia,22,3,12
15,10,Luciano [DE],Schmetterling,Urban,4,3,10
16,16,Lil Nas X,Montero (Call Me By Your Name),Columbia,16,2,16
17,7,Lea x Casper,Schwarz,Four Music / Treppenhaus,2,7,7
18,13,Vegedream,Ramenez la coupe à la maison,Universal,5,9,13
19,NA,Capital Bra x King Khalil,Die zwei kenn ich,Urban,1,19,0
20,20,The Weeknd,Save Your Tears,Republic Records,26,5,20
21,21,P!nk + Willow Sage Hart,Cover Me In Sunshine,RCA,20,7,21
22,18,Shirin David,Ich darf das,Universal Domestic Vertigo,9,1,18
23,NA,BTS,Permission To Dance,Sony Music / BTS,1,23,0
24,22,"01099 - Gustav, Zachi",Durstlöscher,01099,9,17,22
25,24,Dua Lipa,Levitating,Urban,17,16,24
26,23,Jamule,Liege wieder wach,Life Is Pain,12,3,23
27,26,atb x Topic x A7S,Your Love (9PM),Virgin Records,26,6,26
28,30,OneRepublic,Run,Interscope,10,28,30
29,33,Alvaro Soler,Magia,Airforce1,14,28,33
30,28,Mark Forster x Lea,Drei Uhr nachts,Four Music,14,15,28
31,25,Martin Garrix feat. Bono & The Edge,We Are The People,Columbia / B1,5,15,25
32,32,Masked Wolf,Astronaut In The Ocean,Elektra,27,4,32
33,34,Tiësto,The Business,Atlantic,37,3,34
34,63,HBz,King Kong,Virgin Records,5,34,63
35,NA,Billie Eilish,NDA,Interscope,1,35,0
36,27,Capo,Ghettogirl,Warner Music Germany,7,7,27
37,46,Super-Hi x Neeka,Following The Sun,Blended,5,37,46
38,29,Trinidad Cardona,Dinero,Run It Up Records,5,23,29
39,NA,Post Malone,Mötley Crew,Republic Records,1,39,0
40,37,Ofenbach feat. Lagique,Wasted Love,Elektra,20,12,37
41,44,Glockenbach feat. ClockClock,Redlight,Wefor,7,41,44
42,31,Ayliva,Wenn ich wein,Whiteheart Records,3,31,31
43,9,Ufo361,Daniel Lee,Stay High,2,9,9
44,45,Tom Gregory,River,Kontor Records,7,44,45
45,59,Tinlicker & Helsloot,Because You Move Me,Kontor Records,4,45,59
46,42,Bausa feat. Apache 207,Madonna,Warner Music Germany,21,1,42
47,35,Coldplay,Higher Power,Parlophone Label Group,10,35,35
48,41,Purple Disco Machine feat. Moss Kena & The Knocks,Fireworks,Columbia,12,32,41
49,48,The Weeknd,Blinding Lights,Republic Records,85,1,48
50,40,"187 Strassenbande / Bonez, Frauenarzt",Extasy,187 Strassenbande,10,1,40
51,38,Justin Bieber feat. Daniel Caesar & Giveon,Peaches,Def Jam,17,2,38
52,47,Leony,Faded Love,Kontor Records,21,17,47
53,54,The Kid Laroi,Without You,Columbia,29,13,54
54,14,Luciano [DE],Promise,Urban,2,14,14
55,56,Tom Grennan,Little Bit Of Love,RCA,10,53,56
56,53,01099 - Gustav,Frisch,01099,15,36,53
57,52,Zoe Wees,Girls Like Us,Capitol,26,9,52
58,51,Måneskin,Zitti e buoni,RCA,8,9,51
59,78,Russ Millions x Tion Wayne,Body,Atlantic,10,28,78
60,60,Cro feat. Capital Bra,Blessed,Urban,11,2,60
61,15,Farid Bang x Capital Bra,Kampfsport,Farid Bang,2,15,15
62,65,Joel Corry feat. MNEK,Head & Heart,Atlantic,52,4,65
63,67,Jason Derulo x Nuka,Love Not War (The Tampa Beat),Columbia,34,9,67
64,68,Joel Corry / Raye / David Guetta,Bed,Atlantic,19,34,68
65,70,Robin Schulz & Felix Jaehn feat. Alida,One More Time,Warner Music Germany,20,37,70
66,64,Majestic x Boney M.,Rasputin,NITRON,11,38,64
67,61,Doja Cat feat. SZA,Kiss Me More,RCA,14,31,61
68,55,BHZ,Drink ist kalt,Sony Music / BHZ,6,21,55
69,43,Dardan,GTA,Hypnotize Entertainment,3,14,43
70,69,Miksu / Macloud / Jamule / Nimo,Frag mich nicht,Futura,16,2,69
71,74,Ofenbach & Quarterhead feat. Norma Jean Martine,Head Shoulders Knees & Toes,Spinnin' Records,50,6,74
72,86,Lena,Strip,Universal Domestic Polydor,6,72,86
73,82,Apache 207,Roller,Four Music / TwoSides,98,1,82
74,NA,Lityway & Yungfijay feat. Ille & MABU,Für dich,Epic,1,74,0
75,71,Imagine Dragons,Follow You,Interscope,14,49,71
76,83,"Galantis, David Guetta & Little Mix",Heartbreak Anthem,Big Beat Records,7,75,83
